=================================================
                RAPPORT RELEVÉS IoT              
=================================================
Date : 2026-02-24

Type;Valeur;Unité;Capteur
pH du sol;6.59;pH;5
Pluviométrie;7.57;mm;7
Luminosité;71745.24;lux;8
Vitesse du vent;25.9;km/h;9
Humidité du sol;57.37;%;4
pH du sol;6.33;pH;5
Pluviométrie;3.88;mm;7
Luminosité;19523.72;lux;8
Vitesse du vent;45.0;km/h;9
Humidité du sol;41.32;%;4
pH du sol;7.41;pH;5
Pluviométrie;4.64;mm;7
Luminosité;59091.35;lux;8
Vitesse du vent;17.13;km/h;9
Humidité du sol;46.49;%;4
pH du sol;6.59;pH;5
Pluviométrie;8.35;mm;7
Luminosité;54532.69;lux;8
Vitesse du vent;36.09;km/h;9
Humidité du sol;41.07;%;4
pH du sol;7.49;pH;5
Pluviométrie;2.98;mm;7
Luminosité;71355.7;lux;8
Vitesse du vent;28.53;km/h;9
Humidité du sol;40.9;%;4
pH du sol;7.33;pH;5
Pluviométrie;9.08;mm;7
Luminosité;35474.56;lux;8
Vitesse du vent;8.86;km/h;9
Humidité du sol;52.39;%;4
pH du sol;6.16;pH;5
Pluviométrie;6.39;mm;7
Luminosité;92654.71;lux;8
Vitesse du vent;40.84;km/h;9
Humidité du sol;77.88;%;4
pH du sol;6.59;pH;5
Pluviométrie;0.38;mm;7
Luminosité;28277.83;lux;8
Vitesse du vent;44.86;km/h;9
Humidité du sol;46.8;%;4
pH du sol;6.27;pH;5
Pluviométrie;5.92;mm;7
Luminosité;11477.59;lux;8
Vitesse du vent;45.07;km/h;9
Humidité du sol;70.22;%;4
pH du sol;6.98;pH;5
Pluviométrie;6.96;mm;7
Luminosité;64334.21;lux;8
Vitesse du vent;46.78;km/h;9
Luminosité;90421.53;lux;8
Vitesse du vent;28.79;km/h;9
Humidité du sol;66.26;%;4
pH du sol;6.4;pH;5
Pluviométrie;6.8;mm;7
Humidité du sol;60.39;%;4
pH du sol;6.78;pH;5
Pluviométrie;2.68;mm;7
Luminosité;66477.94;lux;8
Vitesse du vent;36.35;km/h;9
Luminosité;98329.46;lux;8
Vitesse du vent;40.31;km/h;9
Pluviométrie;7.79;mm;7
pH du sol;6.48;pH;5
Humidité du sol;50.02;%;4
Humidité du sol;50.15;%;4
pH du sol;6.26;pH;5
Pluviométrie;8.13;mm;7
Luminosité;75583.82;lux;8
Vitesse du vent;1.67;km/h;9
Humidité du sol;51.6;%;4
pH du sol;6.13;pH;5
Pluviométrie;8.48;mm;7
Luminosité;79429.66;lux;8
Vitesse du vent;18.68;km/h;9
Humidité du sol;62.96;%;4
pH du sol;7.4;pH;5
Pluviométrie;5.83;mm;7
Luminosité;57364.95;lux;8
Vitesse du vent;45.63;km/h;9
Humidité du sol;75.71;%;4
pH du sol;7.48;pH;5
Pluviométrie;0.37;mm;7
Luminosité;3818.05;lux;8
Vitesse du vent;29.52;km/h;9
Humidité du sol;66.71;%;4
pH du sol;6.54;pH;5
Pluviométrie;5.32;mm;7
Luminosité;37362.41;lux;8
Vitesse du vent;39.45;km/h;9
Humidité du sol;45.4;%;4
pH du sol;7.1;pH;5
Pluviométrie;3.2;mm;7
Luminosité;90511.63;lux;8
Vitesse du vent;7.68;km/h;9
Humidité du sol;59.43;%;4
pH du sol;6.01;pH;5
Pluviométrie;6.15;mm;7
Luminosité;31432.89;lux;8
Vitesse du vent;43.02;km/h;9
Humidité du sol;79.57;%;4
pH du sol;6.61;pH;5
Pluviométrie;0.97;mm;7
Luminosité;74097.65;lux;8
Vitesse du vent;5.34;km/h;9
Humidité du sol;71.02;%;4
pH du sol;7.18;pH;5
Pluviométrie;4.43;mm;7
Luminosité;12727.92;lux;8
Vitesse du vent;2.57;km/h;9
Humidité du sol;57.98;%;4
pH du sol;7.39;pH;5
Pluviométrie;4.79;mm;7
Luminosité;44941.79;lux;8
Vitesse du vent;28.0;km/h;9
Humidité du sol;62.51;%;4
pH du sol;6.31;pH;5
Pluviométrie;0.4;mm;7
Luminosité;35210.75;lux;8
Vitesse du vent;4.44;km/h;9
Humidité du sol;48.45;%;4
pH du sol;6.16;pH;5
Pluviométrie;2.8;mm;7
Luminosité;84247.19;lux;8
Vitesse du vent;3.7;km/h;9
Humidité du sol;70.34;%;4
pH du sol;6.8;pH;5
Pluviométrie;9.61;mm;7
Luminosité;2927.82;lux;8
Vitesse du vent;48.36;km/h;9
Humidité du sol;55.1;%;4
pH du sol;7.32;pH;5
Pluviométrie;6.37;mm;7
Luminosité;54284.21;lux;8
Vitesse du vent;0.99;km/h;9
Humidité du sol;46.68;%;4
pH du sol;6.32;pH;5
Pluviométrie;7.86;mm;7
Luminosité;259.44;lux;8
Vitesse du vent;4.63;km/h;9
Humidité du sol;41.98;%;4
pH du sol;6.07;pH;5
Pluviométrie;0.75;mm;7
Luminosité;16428.35;lux;8
Vitesse du vent;45.91;km/h;9
pH du sol;6.71;pH;5
Pluviométrie;6.85;mm;7
Luminosité;11173.95;lux;8
Vitesse du vent;15.54;km/h;9
Humidité du sol;43.7;%;4
Humidité du sol;78.62;%;4
pH du sol;7.28;pH;5
Pluviométrie;6.71;mm;7
Luminosité;89063.69;lux;8
Vitesse du vent;40.54;km/h;9
pH du sol;6.84;pH;5
Pluviométrie;6.74;mm;7
Luminosité;18461.7;lux;8
Vitesse du vent;8.75;km/h;9
Humidité du sol;63.9;%;4
Luminosité;53022.81;lux;8
Vitesse du vent;11.27;km/h;9
Pluviométrie;6.51;mm;7
Humidité du sol;50.92;%;4
pH du sol;6.18;pH;5
Luminosité;64922.26;lux;8
Vitesse du vent;13.54;km/h;9
pH du sol;6.27;pH;5
Pluviométrie;6.28;mm;7
Humidité du sol;58.05;%;4
Vitesse du vent;14.98;km/h;9
Humidité du sol;60.24;%;4
pH du sol;6.29;pH;5
Pluviométrie;6.3;mm;7
Luminosité;97049.53;lux;8
Vitesse du vent;14.71;km/h;9
Pluviométrie;6.41;mm;7
Luminosité;62421.07;lux;8
Humidité du sol;44.18;%;4
pH du sol;7.2;pH;5
Humidité du sol;44.75;%;4
pH du sol;6.09;pH;5
Pluviométrie;9.09;mm;7
Luminosité;18836.48;lux;8
Vitesse du vent;20.55;km/h;9
Humidité du sol;61.89;%;4
pH du sol;6.25;pH;5
Pluviométrie;8.58;mm;7
Luminosité;35483.49;lux;8
Vitesse du vent;1.91;km/h;9
Pluviométrie;0.11;mm;7
Luminosité;77169.71;lux;8
Vitesse du vent;47.78;km/h;9
Humidité du sol;50.45;%;4
pH du sol;6.72;pH;5
Humidité du sol;56.15;%;4
pH du sol;6.85;pH;5
Pluviométrie;1.76;mm;7
Luminosité;43385.42;lux;8
Vitesse du vent;21.21;km/h;9
Humidité du sol;53.6;%;4
pH du sol;7.43;pH;5
Pluviométrie;0.55;mm;7
Luminosité;4313.52;lux;8
Vitesse du vent;30.52;km/h;9
Humidité du sol;60.55;%;4
pH du sol;7.18;pH;5
Pluviométrie;2.78;mm;7
Luminosité;98087.15;lux;8
Vitesse du vent;18.4;km/h;9
Humidité du sol;49.46;%;4
pH du sol;7.26;pH;5
Pluviométrie;6.86;mm;7
Luminosité;87545.07;lux;8
Vitesse du vent;41.97;km/h;9
Humidité du sol;78.42;%;4
pH du sol;6.47;pH;5
Pluviométrie;5.33;mm;7
Luminosité;26693.62;lux;8
Vitesse du vent;25.55;km/h;9
Humidité du sol;75.41;%;4
pH du sol;6.29;pH;5
Pluviométrie;0.87;mm;7
Luminosité;62869.03;lux;8
Vitesse du vent;29.42;km/h;9
Humidité du sol;71.94;%;4
pH du sol;7.12;pH;5
Pluviométrie;3.82;mm;7
Luminosité;70266.46;lux;8
Vitesse du vent;19.1;km/h;9
Humidité du sol;58.29;%;4
pH du sol;6.8;pH;5
Pluviométrie;2.91;mm;7
Luminosité;81700.6;lux;8
Vitesse du vent;28.9;km/h;9
Humidité du sol;59.47;%;4
pH du sol;7.13;pH;5
Pluviométrie;7.13;mm;7
Luminosité;89306.02;lux;8
Vitesse du vent;5.58;km/h;9
Humidité du sol;62.56;%;4
pH du sol;6.03;pH;5
Pluviométrie;8.19;mm;7
Luminosité;90478.78;lux;8
Vitesse du vent;27.48;km/h;9
Humidité du sol;79.3;%;4
pH du sol;6.61;pH;5
Pluviométrie;6.95;mm;7
Luminosité;56730.33;lux;8
Vitesse du vent;32.35;km/h;9
Humidité du sol;71.82;%;4
pH du sol;6.82;pH;5
Pluviométrie;7.45;mm;7
Luminosité;15562.07;lux;8
Vitesse du vent;37.57;km/h;9
Humidité du sol;62.85;%;4
pH du sol;7.06;pH;5
Pluviométrie;3.48;mm;7
Luminosité;91316.3;lux;8
Vitesse du vent;6.39;km/h;9
Pluviométrie;8.96;mm;7
Luminosité;33060.5;lux;8
Vitesse du vent;21.75;km/h;9
Humidité du sol;76.52;%;4
pH du sol;6.3;pH;5
Pluviométrie;7.35;mm;7
Luminosité;35441.83;lux;8
Vitesse du vent;31.51;km/h;9
Humidité du sol;51.67;%;4
pH du sol;7.05;pH;5
pH du sol;6.78;pH;5
Pluviométrie;5.69;mm;7
Luminosité;26540.19;lux;8
Vitesse du vent;30.94;km/h;9
Humidité du sol;68.88;%;4
Humidité du sol;65.58;%;4
pH du sol;6.1;pH;5
Pluviométrie;0.81;mm;7
Luminosité;27350.56;lux;8
Vitesse du vent;9.38;km/h;9
Humidité du sol;45.08;%;4
pH du sol;6.42;pH;5
Pluviométrie;8.25;mm;7
Luminosité;68191.41;lux;8
Vitesse du vent;48.71;km/h;9
Humidité du sol;73.35;%;4
pH du sol;6.3;pH;5
Pluviométrie;5.95;mm;7
Luminosité;52809.36;lux;8
Vitesse du vent;39.73;km/h;9
Humidité du sol;64.86;%;4
pH du sol;6.58;pH;5
Pluviométrie;5.64;mm;7
Luminosité;96750.37;lux;8
Vitesse du vent;13.73;km/h;9
pH du sol;6.09;pH;5
Pluviométrie;6.47;mm;7
Luminosité;63883.1;lux;8
Vitesse du vent;7.79;km/h;9
Humidité du sol;64.29;%;4
Humidité du sol;52.29;%;4
pH du sol;7.24;pH;5
Pluviométrie;0.3;mm;7
Luminosité;77654.66;lux;8
Vitesse du vent;49.25;km/h;9
Humidité du sol;49.21;%;4
pH du sol;7.22;pH;5
Pluviométrie;3.43;mm;7
Luminosité;86683.12;lux;8
Vitesse du vent;5.32;km/h;9
Humidité du sol;74.75;%;4
pH du sol;7.24;pH;5
Pluviométrie;8.66;mm;7
Luminosité;21039.48;lux;8
Vitesse du vent;16.11;km/h;9
Humidité du sol;61.42;%;4
pH du sol;7.0;pH;5
Pluviométrie;4.33;mm;7
Luminosité;39318.98;lux;8
Vitesse du vent;31.07;km/h;9
Humidité du sol;64.47;%;4
pH du sol;7.48;pH;5
Pluviométrie;4.38;mm;7
Luminosité;80269.21;lux;8
Vitesse du vent;11.38;km/h;9
Humidité du sol;45.25;%;4
pH du sol;6.22;pH;5
Pluviométrie;7.27;mm;7
Luminosité;29470.99;lux;8
Vitesse du vent;45.39;km/h;9
Humidité du sol;50.05;%;4
pH du sol;6.54;pH;5
Pluviométrie;5.75;mm;7
Luminosité;91455.67;lux;8
Vitesse du vent;41.35;km/h;9
Humidité du sol;44.85;%;4
pH du sol;6.04;pH;5
Pluviométrie;3.43;mm;7
Luminosité;85148.48;lux;8
Vitesse du vent;11.73;km/h;9
Humidité du sol;65.48;%;4
pH du sol;6.36;pH;5
Pluviométrie;5.79;mm;7
Luminosité;60143.51;lux;8
Vitesse du vent;34.12;km/h;9
Humidité du sol;43.49;%;4
pH du sol;7.2;pH;5
Pluviométrie;4.37;mm;7
Luminosité;18787.4;lux;8
Vitesse du vent;24.07;km/h;9
Humidité du sol;66.17;%;4
pH du sol;6.17;pH;5
Pluviométrie;8.69;mm;7
Luminosité;34397.6;lux;8
Vitesse du vent;7.81;km/h;9
Humidité du sol;44.79;%;4
pH du sol;7.32;pH;5
Pluviométrie;8.62;mm;7
Luminosité;22233.26;lux;8
Vitesse du vent;38.21;km/h;9
Humidité du sol;69.99;%;4
pH du sol;7.1;pH;5
Pluviométrie;8.49;mm;7
Luminosité;7799.04;lux;8
Vitesse du vent;43.55;km/h;9
Humidité du sol;52.6;%;4
pH du sol;6.99;pH;5
Pluviométrie;9.21;mm;7
Luminosité;33331.37;lux;8
Vitesse du vent;0.77;km/h;9
Humidité du sol;70.54;%;4
pH du sol;6.07;pH;5
Pluviométrie;2.23;mm;7
Luminosité;99717.51;lux;8
Vitesse du vent;37.91;km/h;9
Humidité du sol;58.82;%;4
pH du sol;7.1;pH;5
Pluviométrie;8.58;mm;7
Luminosité;46166.01;lux;8
Vitesse du vent;26.98;km/h;9
Humidité du sol;52.95;%;4
pH du sol;7.5;pH;5
Pluviométrie;4.28;mm;7
Luminosité;50342.02;lux;8
Vitesse du vent;46.49;km/h;9
Humidité du sol;49.85;%;4
pH du sol;6.16;pH;5
Pluviométrie;8.5;mm;7
Luminosité;75679.9;lux;8
Vitesse du vent;28.92;km/h;9
Humidité du sol;73.18;%;4
pH du sol;6.93;pH;5
Pluviométrie;6.65;mm;7
Luminosité;40021.61;lux;8
Vitesse du vent;46.46;km/h;9
Humidité du sol;67.46;%;4
pH du sol;6.61;pH;5
Pluviométrie;4.27;mm;7
Luminosité;87482.94;lux;8
Vitesse du vent;32.65;km/h;9
Humidité du sol;55.55;%;4
pH du sol;6.68;pH;5
Pluviométrie;0.7;mm;7
Luminosité;93400.31;lux;8
Vitesse du vent;7.96;km/h;9
Humidité du sol;43.31;%;4
pH du sol;7.28;pH;5
Pluviométrie;5.5;mm;7
Luminosité;21329.43;lux;8
Vitesse du vent;8.35;km/h;9
Humidité du sol;64.83;%;4
pH du sol;6.31;pH;5
Pluviométrie;1.26;mm;7
Luminosité;32775.53;lux;8
Vitesse du vent;22.02;km/h;9
Humidité du sol;58.78;%;4
pH du sol;6.36;pH;5
Pluviométrie;1.61;mm;7
Luminosité;73031.5;lux;8
Vitesse du vent;0.13;km/h;9
Humidité du sol;66.44;%;4
pH du sol;7.27;pH;5
Pluviométrie;7.81;mm;7
Luminosité;92248.73;lux;8
Vitesse du vent;2.91;km/h;9
Humidité du sol;71.26;%;4
pH du sol;7.21;pH;5
Pluviométrie;5.41;mm;7
Luminosité;31942.66;lux;8
Vitesse du vent;5.38;km/h;9
Humidité du sol;56.75;%;4
pH du sol;6.17;pH;5
Pluviométrie;9.75;mm;7
Luminosité;5609.86;lux;8
Vitesse du vent;41.14;km/h;9
Humidité du sol;46.27;%;4
pH du sol;6.01;pH;5
Pluviométrie;6.06;mm;7
Luminosité;97972.72;lux;8
Vitesse du vent;7.23;km/h;9
Humidité du sol;64.68;%;4
pH du sol;7.09;pH;5
Pluviométrie;2.16;mm;7
Luminosité;22723.9;lux;8
Vitesse du vent;40.49;km/h;9
Humidité du sol;62.2;%;4
pH du sol;6.15;pH;5
Pluviométrie;1.52;mm;7
Luminosité;94772.75;lux;8
Vitesse du vent;16.79;km/h;9
Humidité du sol;65.03;%;4
pH du sol;6.2;pH;5
Pluviométrie;7.78;mm;7
Luminosité;46993.46;lux;8
Vitesse du vent;19.65;km/h;9
Humidité du sol;71.88;%;4
pH du sol;6.51;pH;5
Pluviométrie;0.07;mm;7
Luminosité;27662.97;lux;8
Vitesse du vent;2.44;km/h;9
Humidité du sol;73.21;%;4
pH du sol;6.34;pH;5
Pluviométrie;8.58;mm;7
Luminosité;72841.69;lux;8
Vitesse du vent;17.12;km/h;9
Humidité du sol;60.77;%;4
pH du sol;7.42;pH;5
Pluviométrie;6.02;mm;7
Luminosité;66306.38;lux;8
Vitesse du vent;18.62;km/h;9
Humidité du sol;78.18;%;4
pH du sol;6.52;pH;5
Pluviométrie;5.02;mm;7
Luminosité;43479.88;lux;8
Vitesse du vent;16.92;km/h;9
Humidité du sol;77.82;%;4
pH du sol;6.37;pH;5
Pluviométrie;6.6;mm;7
Luminosité;69019.92;lux;8
Vitesse du vent;18.75;km/h;9
Humidité du sol;51.95;%;4
pH du sol;7.17;pH;5
Pluviométrie;2.5;mm;7
Luminosité;10423.25;lux;8
Vitesse du vent;26.06;km/h;9
pH du sol;6.73;pH;5
Pluviométrie;9.97;mm;7
Luminosité;7126.02;lux;8
Vitesse du vent;28.33;km/h;9
Humidité du sol;68.12;%;4
Humidité du sol;64.3;%;4
pH du sol;7.14;pH;5
Pluviométrie;4.06;mm;7
Luminosité;47418.34;lux;8
Vitesse du vent;6.12;km/h;9
Humidité du sol;41.6;%;4
pH du sol;6.12;pH;5
Pluviométrie;0.03;mm;7
Luminosité;91998.36;lux;8
Vitesse du vent;41.12;km/h;9
Humidité du sol;45.11;%;4
pH du sol;7.37;pH;5
Pluviométrie;3.04;mm;7
Luminosité;97190.59;lux;8
Vitesse du vent;37.33;km/h;9
Humidité du sol;41.22;%;4
pH du sol;6.98;pH;5
Pluviométrie;6.59;mm;7
Luminosité;58494.25;lux;8
Vitesse du vent;15.09;km/h;9
Humidité du sol;47.61;%;4
pH du sol;6.49;pH;5
Pluviométrie;3.01;mm;7
Luminosité;4349.98;lux;8
Vitesse du vent;7.87;km/h;9
Humidité du sol;45.81;%;4
pH du sol;7.02;pH;5
Pluviométrie;1.87;mm;7
Luminosité;24418.2;lux;8
Vitesse du vent;22.59;km/h;9
Humidité du sol;63.66;%;4
pH du sol;6.47;pH;5
Pluviométrie;8.74;mm;7
Luminosité;6323.7;lux;8
Vitesse du vent;45.93;km/h;9
Humidité du sol;77.87;%;4
pH du sol;6.06;pH;5
Pluviométrie;8.31;mm;7
Luminosité;32930.93;lux;8
Vitesse du vent;22.88;km/h;9
Humidité du sol;59.33;%;4
pH du sol;7.43;pH;5
Pluviométrie;8.06;mm;7
Luminosité;39346.9;lux;8
Vitesse du vent;16.08;km/h;9
Humidité du sol;54.69;%;4
pH du sol;7.48;pH;5
Pluviométrie;0.11;mm;7
Luminosité;92501.93;lux;8
Vitesse du vent;38.22;km/h;9
Humidité du sol;64.51;%;4
pH du sol;6.91;pH;5
Pluviométrie;4.09;mm;7
Luminosité;70445.31;lux;8
Vitesse du vent;8.05;km/h;9
Humidité du sol;63.92;%;4
pH du sol;6.96;pH;5
Pluviométrie;5.82;mm;7
Luminosité;1870.27;lux;8
Vitesse du vent;36.96;km/h;9
Humidité du sol;71.46;%;4
pH du sol;6.06;pH;5
Pluviométrie;3.37;mm;7
Luminosité;48019.49;lux;8
Vitesse du vent;3.79;km/h;9
Humidité du sol;51.39;%;4
pH du sol;6.2;pH;5
Pluviométrie;4.87;mm;7
Luminosité;3112.6;lux;8
Vitesse du vent;1.15;km/h;9
Humidité du sol;69.33;%;4
pH du sol;6.91;pH;5
Pluviométrie;5.13;mm;7
Luminosité;77026.83;lux;8
Vitesse du vent;30.12;km/h;9
Humidité du sol;78.92;%;4
pH du sol;7.42;pH;5
Pluviométrie;3.09;mm;7
Luminosité;71695.39;lux;8
Vitesse du vent;48.63;km/h;9
Humidité du sol;57.36;%;4
pH du sol;7.47;pH;5
Pluviométrie;8.17;mm;7
Luminosité;27096.89;lux;8
Vitesse du vent;1.48;km/h;9
Humidité du sol;65.8;%;4
pH du sol;7.19;pH;5
Pluviométrie;3.28;mm;7
Luminosité;44181.66;lux;8
Vitesse du vent;22.96;km/h;9
Humidité du sol;57.88;%;4
pH du sol;7.12;pH;5
Pluviométrie;2.5;mm;7
Luminosité;12844.02;lux;8
Vitesse du vent;15.49;km/h;9
Humidité du sol;59.01;%;4
pH du sol;6.89;pH;5
Pluviométrie;2.6;mm;7
Luminosité;47281.62;lux;8
Vitesse du vent;33.53;km/h;9
Humidité du sol;41.33;%;4
pH du sol;7.28;pH;5
Pluviométrie;7.42;mm;7
Luminosité;67142.0;lux;8
Vitesse du vent;36.22;km/h;9
Humidité du sol;40.91;%;4
pH du sol;6.49;pH;5
Pluviométrie;5.41;mm;7
Luminosité;15006.19;lux;8
Vitesse du vent;13.75;km/h;9
Humidité du sol;71.58;%;4
pH du sol;6.71;pH;5
Pluviométrie;1.95;mm;7
Luminosité;72554.78;lux;8
Vitesse du vent;0.1;km/h;9
Humidité du sol;64.7;%;4
pH du sol;6.08;pH;5
Pluviométrie;1.17;mm;7
Luminosité;6423.57;lux;8
Vitesse du vent;2.85;km/h;9
Humidité du sol;76.76;%;4
pH du sol;7.26;pH;5
Pluviométrie;0.59;mm;7
Luminosité;33945.25;lux;8
Vitesse du vent;29.18;km/h;9
Luminosité;48848.87;lux;8
Vitesse du vent;9.64;km/h;9
Humidité du sol;75.43;%;4
pH du sol;6.08;pH;5
Pluviométrie;9.69;mm;7
Humidité du sol;74.2;%;4
pH du sol;7.09;pH;5
Pluviométrie;2.48;mm;7
Luminosité;41512.29;lux;8
Vitesse du vent;25.82;km/h;9
Humidité du sol;58.51;%;4
pH du sol;6.86;pH;5
Pluviométrie;0.83;mm;7
Luminosité;41888.05;lux;8
Vitesse du vent;26.89;km/h;9
Humidité du sol;44.14;%;4
pH du sol;6.46;pH;5
Pluviométrie;8.71;mm;7
Luminosité;15312.63;lux;8
Vitesse du vent;30.06;km/h;9
Humidité du sol;71.33;%;4
pH du sol;6.36;pH;5
Pluviométrie;0.46;mm;7
Luminosité;48320.23;lux;8
Vitesse du vent;37.6;km/h;9
Humidité du sol;57.31;%;4
pH du sol;6.02;pH;5
Pluviométrie;9.91;mm;7
Luminosité;47688.49;lux;8
Vitesse du vent;33.0;km/h;9
Humidité du sol;78.13;%;4
pH du sol;6.57;pH;5
Pluviométrie;3.05;mm;7
Luminosité;30571.72;lux;8
Vitesse du vent;25.89;km/h;9
Humidité du sol;51.36;%;4
pH du sol;6.57;pH;5
Pluviométrie;1.31;mm;7
Luminosité;32121.06;lux;8
Vitesse du vent;21.19;km/h;9
Humidité du sol;53.85;%;4
pH du sol;6.42;pH;5
Pluviométrie;6.58;mm;7
Luminosité;44505.77;lux;8
Vitesse du vent;27.89;km/h;9
Humidité du sol;75.48;%;4
pH du sol;6.11;pH;5
Pluviométrie;5.99;mm;7
Luminosité;30293.71;lux;8
Vitesse du vent;10.91;km/h;9
Humidité du sol;43.75;%;4
pH du sol;6.66;pH;5
Pluviométrie;3.22;mm;7
Luminosité;28165.28;lux;8
Vitesse du vent;15.51;km/h;9
Humidité du sol;41.29;%;4
pH du sol;7.28;pH;5
Pluviométrie;4.38;mm;7
Luminosité;8529.59;lux;8
Vitesse du vent;0.91;km/h;9
Humidité du sol;64.52;%;4
pH du sol;7.14;pH;5
Pluviométrie;9.35;mm;7
Luminosité;86232.08;lux;8
Vitesse du vent;14.87;km/h;9
Humidité du sol;50.27;%;4
pH du sol;6.59;pH;5
Pluviométrie;4.66;mm;7
Luminosité;41307.55;lux;8
Vitesse du vent;19.69;km/h;9
Humidité du sol;60.79;%;4
pH du sol;6.46;pH;5
Pluviométrie;4.51;mm;7
Luminosité;22523.47;lux;8
Vitesse du vent;0.42;km/h;9
Humidité du sol;55.93;%;4
pH du sol;7.27;pH;5
Pluviométrie;2.31;mm;7
Luminosité;5354.91;lux;8
Vitesse du vent;38.61;km/h;9
Humidité du sol;45.13;%;4
pH du sol;7.26;pH;5
Pluviométrie;4.58;mm;7
Luminosité;11918.44;lux;8
Vitesse du vent;44.81;km/h;9
Humidité du sol;47.01;%;4
pH du sol;6.12;pH;5
Pluviométrie;2.25;mm;7
Luminosité;31350.26;lux;8
Vitesse du vent;26.37;km/h;9
Humidité du sol;50.93;%;4
pH du sol;6.64;pH;5
Pluviométrie;3.17;mm;7
Luminosité;70051.79;lux;8
Vitesse du vent;27.14;km/h;9
Humidité du sol;44.2;%;4
pH du sol;7.12;pH;5
Pluviométrie;4.11;mm;7
Luminosité;28162.83;lux;8
Vitesse du vent;19.9;km/h;9
Humidité du sol;65.0;%;4
pH du sol;6.37;pH;5
Pluviométrie;7.65;mm;7
Luminosité;52319.95;lux;8
Vitesse du vent;27.39;km/h;9
Pluviométrie;2.45;mm;7
Luminosité;36137.39;lux;8
Vitesse du vent;13.65;km/h;9
Humidité du sol;50.63;%;4
pH du sol;6.47;pH;5
Humidité du sol;55.39;%;4
pH du sol;7.32;pH;5
Pluviométrie;9.94;mm;7
Luminosité;77333.71;lux;8
Vitesse du vent;37.59;km/h;9
Humidité du sol;44.72;%;4
pH du sol;6.29;pH;5
Pluviométrie;6.37;mm;7
Luminosité;76961.97;lux;8
Vitesse du vent;28.52;km/h;9
Humidité du sol;40.76;%;4
pH du sol;6.45;pH;5
Pluviométrie;8.7;mm;7
Luminosité;82911.29;lux;8
Vitesse du vent;17.19;km/h;9
Humidité du sol;69.1;%;4
pH du sol;6.81;pH;5
Pluviométrie;4.52;mm;7
Luminosité;20762.43;lux;8
Vitesse du vent;19.25;km/h;9
Humidité du sol;57.55;%;4
pH du sol;7.49;pH;5
Pluviométrie;1.49;mm;7
Luminosité;9352.29;lux;8
Vitesse du vent;36.28;km/h;9
Humidité du sol;56.18;%;4
pH du sol;6.44;pH;5
Pluviométrie;5.19;mm;7
Luminosité;77108.64;lux;8
Vitesse du vent;18.24;km/h;9
Humidité du sol;44.43;%;4
pH du sol;7.05;pH;5
Pluviométrie;6.93;mm;7
Luminosité;14066.37;lux;8
Vitesse du vent;14.22;km/h;9
pH du sol;7.14;pH;5
Pluviométrie;4.63;mm;7
Luminosité;16116.73;lux;8
Vitesse du vent;33.3;km/h;9
Humidité du sol;74.93;%;4
Humidité du sol;50.93;%;4
pH du sol;6.5;pH;5
Pluviométrie;9.13;mm;7
Luminosité;67141.32;lux;8
Vitesse du vent;13.59;km/h;9
Humidité du sol;78.87;%;4
pH du sol;7.39;pH;5
Pluviométrie;0.2;mm;7
Luminosité;6633.59;lux;8
Vitesse du vent;8.71;km/h;9
Humidité du sol;78.69;%;4
pH du sol;6.3;pH;5
Pluviométrie;0.8;mm;7
Luminosité;24585.31;lux;8
Vitesse du vent;38.48;km/h;9
Humidité du sol;69.56;%;4
pH du sol;7.46;pH;5
Pluviométrie;4.5;mm;7
Luminosité;70454.5;lux;8
Vitesse du vent;29.74;km/h;9
Humidité du sol;66.3;%;4
pH du sol;6.56;pH;5
Pluviométrie;5.42;mm;7
Luminosité;9595.97;lux;8
Vitesse du vent;36.46;km/h;9
Humidité du sol;79.42;%;4
pH du sol;7.43;pH;5
Pluviométrie;5.3;mm;7
Luminosité;11204.52;lux;8
Vitesse du vent;24.55;km/h;9
Humidité du sol;62.98;%;4
pH du sol;6.45;pH;5
Pluviométrie;3.29;mm;7
Luminosité;50263.22;lux;8
Vitesse du vent;6.29;km/h;9
Humidité du sol;61.15;%;4
pH du sol;7.38;pH;5
Pluviométrie;6.99;mm;7
Luminosité;64069.03;lux;8
Vitesse du vent;27.77;km/h;9
Humidité du sol;58.84;%;4
pH du sol;6.49;pH;5
Pluviométrie;0.05;mm;7
Luminosité;83427.6;lux;8
Vitesse du vent;22.03;km/h;9
Humidité du sol;58.42;%;4
pH du sol;6.03;pH;5
Pluviométrie;1.47;mm;7
Luminosité;73071.55;lux;8
Vitesse du vent;19.91;km/h;9
Humidité du sol;56.61;%;4
pH du sol;6.97;pH;5
Pluviométrie;5.55;mm;7
Luminosité;83445.84;lux;8
Vitesse du vent;45.59;km/h;9
Humidité du sol;53.1;%;4
pH du sol;6.25;pH;5
Pluviométrie;8.22;mm;7
Luminosité;15986.36;lux;8
Vitesse du vent;47.3;km/h;9
Luminosité;65518.21;lux;8
Vitesse du vent;45.26;km/h;9
Humidité du sol;60.97;%;4
pH du sol;6.91;pH;5
Pluviométrie;0.78;mm;7
Humidité du sol;59.99;%;4
pH du sol;6.23;pH;5
Pluviométrie;6.03;mm;7
Luminosité;83811.96;lux;8
Vitesse du vent;47.49;km/h;9
Humidité du sol;79.19;%;4
pH du sol;6.25;pH;5
Pluviométrie;1.42;mm;7
Luminosité;75732.23;lux;8
Vitesse du vent;43.28;km/h;9
Humidité du sol;75.74;%;4
